Город,"Средняя годовая температура, °C","Температура самого холодного месяца, °C","Температура трёх самых холодных месяцев, °C","Температура самого тёплого месяца, °C","Температура трёх самых тёплых месяцев, °C","Абсолютный минимум,","Абсолютный максимум, °C","Среднее годовое количество осадков, мм"
Пенза,"5,2","−9,3","−8,6","19,9","18,6","−45,0",41,521
Тверь,"5,1","−7,6","−7,0","18,8","17,2","−44,0","38,8",653
Холмск,"5,1","−7,6","−6,8","18,7","16,9","−27,0","32,3",823
Южно-Курильск,"5,1","−5,3","−3,9","15,9","14,4","−20,3","30,5",1251
Елатьма,5,"−8,7","−8,1","19,3","17,8","−42,9","39,3",629
Ульяновск,5,"−10,3","−9,5","20,2","18,8","−40,0","39,3",470
Владивосток,"4,9","−12,3","−9,9","19,8","17,8","−31,4","33,6",818
Выборг,"4,8","−7,2","−6,2","18,3","16,6","−36,8","34,6",677
Нижний Новгород,"4,8","−8,9","−8,3","19,4","17,9","−41,4","38,3",648
Владимир,"4,7","−8,7","−8,0",18,"17,2","−43,0","37,1",584
Казань,"4,6","−10,4","−9,7","20,2","18,7","−46,8",39,558
Рыбинск,"4,4","−8,8","−8,1","18,8","17,1","−42,0","37,2",660
Кострома,"4,2","−9,4","−8,6","18,7",17,"−46,4","37,3",625
Уфа,"3,8","−12,6","−11,6","19,6","18,3","−48,5","38,6",589
Чебоксары,"3,5","−12,9","−10,9","18,8","17,3","−44,3","39,9",499
Череповец,"3,3","−10,2","−9,2","17,6","15,8","−45,4","36,2",647
Вологда,"3,1","−10,8","−9,7","17,5","15,8","−47,1","36,4",565
Киров,"3,1","−11,9","−10,9","18,9",17,"−45,2","36,9",676
Петрозаводск,"3,1","−9,3","−8,5",17,"15,1","−41,6","33,9",611
Екатеринбург,3,"−12,6","−11,5",19,"17,4","−46,7","38,8",537
Ижевск,3,"−12,4","−11,6",19,"17,3","−47,5",37,510
Магнитогорск,"2,8","−14,1","−13,2","19,1","18,1","−46,1","38,9",353
Северо-Курильск,"2,8","−4,9","−4,1","11,5","10,5","−21,0","26,4",1842
Южно-Сахалинск,"2,8","−12,2","−10,8","17,3","15,3","−36,2","37,1",864
Курган,"2,7","−15,2","−14,1","19,8","18,5","−47,9","40,5",406
Пермь,"2,7","−12,8","−11,8","18,7","16,8","−47,1","37,2",657
Барнаул,"2,6","−15,5","−14,0","19,9","18,3","−48,2","38,3",431
Хабаровск,"2,4","−19,9","−17,6","21,3","19,8","−41,4","35,7",684
Челябинск,"2,3","−14,5","−13,4","18,2","17,6","−49,9","39,9",429
Онега,"2,2","−11,4","−10,1","16,9","14,8","−42,5","35,8",617
Тюмень,"2,2","−14,9","−13,7","18,8","17,2","−46,1",38,478
Новокузнецк,"2,1","−15,0","−13,8","18,8","17,1","−47,7",36,447
Омск,"2,1","−16,3","−15,0","19,6","18,2","−45,5","40,4",415
Котлас,2,"−13,0","−11,6","17,6","15,5","−47,1","35,5",576
Новосибирск,"1,8","−16,1","−14,7","19,2","17,5","−45,0","37,2",448
Петропавловск-Камчатский,"1,8","−7,7","−6,9","12,5","11,1","−31,7",30,987
Благовещенск,"1,6","−21,5","−19,2","21,8","20,2","−45,4","39,4",543
Красноярск,"1,6","−15,5","−13,9","18,7","16,8","−52,8","36,4",491
Архангельск,"1,3","−12,8","−11,3","16,3","14,1","−45,2","34,4",607
Сыктывкар,"1,3","−14,2","−12,8","17,5","15,3","−46,6","35,3",621
Калевала,"1,1","−12,2","−11,0","15,7","13,7","−45,0",33,564
Александровск-Сахалинский,"0,9","−16,3","−14,4","16,6","14,8","−41,0","32,6",679
Иркутск,"0,9","−17,9","−16,0","18,2","16,5","−49,7","37,2",477
Тобольск,"0,9","−17,1","−15,9","18,7","16,9","−51,8","37,2",476
Томск,"0,9","−17,1","−15,6","18,7","16,7","−55,0","35,1",568
Мурманск,"0,6","−10,0","−9,3","12,9","11,1","−39,4","32,9",494
Кандалакша,"0,4","−12,2","−11,2","14,6","12,7","−43,5","40,8",543
Ключи,"−0,1","−16,7","−14,7","15,6","13,9","−48,6","31,1",628
Улан-Удэ,"−0,1","−23,4","−20,2","19,8","17,9","−54,4",40,265
Ича,"−0,2","−12,7","−11,1","11,7","10,6","−36,1","28,7",642
Койнас,"−0,3","−16,3","−14,5","16,3","13,8","−52,2",36,581
Ухта,"−0,3","−16,5","−14,8","16,5","14,1","−49,0",34,553
Нижнеудинск,"−0,4","−20,6","−18,3","17,9",16,"−49,7","36,4",410
Канин Нос,"−0,5","−9,0","−8,1",9,"7,9","−32,8",30,436
Ханты-Мансийск,"−0,8","−18,9","−17,4","18,4","16,1","−49,0","34,5",530
Няксимволь,"−1,2","−19,4","−18,0","17,4","14,9","−51,6","36,2",536
Кызыл,"−1,3","−28,6","−25,8","20,4","18,6","−52,2","40,7",217
Чита,"−1,4","−25,1","−22,1","18,7",17,"−49,6","40,6",350
Богучаны,"−1,5","−23,3","−21,2","19,1","16,9","−53,5","37,7",361
Сургут,"−1,7","−20,0","−18,8","18,2","15,7","−55,2","34,7",580
Николаевск-на-Амуре,"−1,8","−21,8","−20,1","16,5","15,2","−47,2","35,3",660
Печора,"−1,9","−18,4","−17,1","16,1","13,5","−56,0","34,9",623
Аян,"−2,3","−17,8","−16,7","13,7","11,9","−37,9","33,7",923
Магадан,"−2,7","−16,4","−15,6",12,"10,5","−34,6",26,559
Нарьян-Мар,"−3,0","−17,0","−15,9","13,5","10,9","−47,6","33,9",504
Бор,"−3,1","−23,6","−21,9","18,2","15,5","−56,0","36,1",595
Киренск,"−3,5","−26,6","−24,5","18,3","16,2","−57,8","36,8",397
Охотск,"−3,8","−20,7","−19,6","13,5","11,7","−45,7","32,1",500
Малые Кармакулы,"−4,5","−14,6","−13,2","7,1","5,9","−39,0","28,3",333
Экимчан,"−4,7","−30,0","−27,7","17,5","15,7","−53,4","34,8",694
Баренцбург,"−5,0","−12,5","−12,2",6,"4,4","−39,0","20,3",553
Ванавара,"−5,1","−28,6","−26,6","17,8","15,3","−61,0","35,7",422
Воркута,"−5,3","−19,7","−18,8","13,1","10,1","−52,0","33,8",531
Алдан,"−5,5","−26,3","−25,0","16,6","14,6","−48,7","35,2",718
Ербогачён,"−6,2","−30,1","−28,3","17,5","15,2","−61,2","35,8",345
Анадырь,"−6,9","−22,6","−21,3","11,6","9,3","−46,8",30,384
Нерюнгри,"−6,9","−30,4","−28,4","16,1","14,2","−61,0","34,8",583
Чара,"−6,9","−32,4","−30,0","16,5","14,6","−56,2",35,369
Вилюйск,"−8,2","−35,8","−33,6","18,7","16,2","−60,9","37,4",285
Тура,"−8,4","−34,9","−32,6","16,9","14,2","−60,0",38,369
Якутск,"−8,8","−38,6","−36,7","19,5",17,"−64,4","38,4",237
Дудинка,"−9,4","−26,8","−26,2","13,8","10,5","−56,1","32,8",522
Певек,"−9,5","−27,5","−25,8","8,7","7,4","−50,0","29,2",221
Хатанга,"−12,5","−31,7","−30,9","12,4","9,2","−59,0","36,7",280
Тикси,"−12,6","−30,2","−29,3","7,7","6,2","−50,0","34,3",322
Чокурдах,"−13,4","−33,9","−32,7","10,6",8,"−54,4","31,6",203
Верхоянск,"−14,5","−45,4","−43,5","16,5","13,8","−67,8","37,3",178
Оймякон,"−15,5","−46,4","−44,6","14,9","12,6","−65,4","34,6",212
