,DISTRICT_NAME,NORM_ARI_0_2,NORM_ARI_3_6,NORM_ARI_7_14,NORM_ARI_15,NORM_ARI_TOTAL,NORM_ILI_0_2,NORM_ILI_3_6,NORM_ILI_7_14,NORM_ILI_15,NORM_ILI_TOTAL,NORM_SWB_0_2,NORM_SWB_3_6,NORM_SWB_7_14,NORM_SWB_15,NORM_SWB_TOTAL,NORM_POS_0_2,NORM_POS_3_6,NORM_POS_7_14,NORM_POS_15,NORM_POS_TOTAL,NORM_swba_0_2,NORM_swba_3_6,NORM_swba_7_14,NORM_swba_15,NORM_swba_TOTAL,NORM_posa_0_2,NORM_posa_3_6,NORM_posa_7_14,NORM_posa_15,NORM_posa_TOTAL
0,Биробиджан,4144.327962867207,2454.7070269842166,411.1642095320408,29.588131293238025,355.55490824151474,0.0,0.0,0.0,0.05929256850663365,0.04820066902528607,197.04819914549225,50.098680176093275,13.990958693224743,5.092352395227828,16.13558579212441,0.0,0.0,0.0,0.061488589562434894,0.04998587898918556,197.04819914549225,49.11469938339834,13.990958693224743,5.06197673949336,16.06107358627997,108.77378970593256,22.795576097152516,4.801486048036038,1.1110671657400004,7.0043007083693185
1,Владивосток,1734.8486672283966,1564.9612489702636,275.8082032404992,38.981081917116924,178.76498685138705,0.0,0.0,0.0,0.0,0.0,22.355314665156566,11.339087011178316,3.3467389423955423,1.0216145607511238,2.346285169830801,0.09054887103667593,0.0,0.0,0.0,0.002986289110532594,22.355314665156566,11.339087011178316,3.3467389423955423,1.2316193768615733,2.5239221713813746,8.360346074918587,3.8589364138833533,0.5290171315420417,0.1839913131359341,0.6337196115492059
2,Магадан,2576.621010069352,1985.9276506728406,246.79953251808624,38.61018860938196,244.33148307974037,0.48485318645514136,0.0,0.4008337341670675,0.0,0.053772537863036325,109.66662832131823,37.711533460989386,13.084084322639395,1.4164483836033228,8.200516562498972,1.0056214237588117,0.3830096901451607,0.41567942802510705,0.04505831898225874,0.13011626445870517,97.0963605243331,32.73240748910229,12.252725466589178,1.2812734266565466,7.30829074906785,48.92327690122788,12.673100471696479,4.430049815682258,0.44972363143179206,3.179703650190758
3,Петропавловск,1199.296388800997,1252.530753216433,171.1347984886434,32.14791992044649,147.37444067331924,0.499990000199996,0.4070931917734608,0.3599262870964027,0.011932285710467382,0.07891574306725056,133.22704224561787,55.16189227136692,19.985856439215393,2.4255998622447,11.50382783388479,0.5185081483555515,0.4221707173947001,0.37325689032219533,0.01237422221826247,0.08183854836603761,133.22704224561787,55.16189227136692,19.985856439215393,2.4255998622447,11.50382783388479,64.49924174852895,26.397479989062933,4.9251512817087315,0.33176365211426984,4.462755303257721
4,Улан-Удэ,156.9514240989318,123.36568451971631,24.04594572642363,14.801070006941535,29.440609281605884,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
5,Хабаровск,2219.1875509114425,2523.1298219159357,487.8839672997884,70.77226094705102,297.83404406341714,0.0,0.0,0.0,0.006875443638000743,0.005795496852581569,22.391121591958296,18.802109161294837,6.420443950299163,1.0553501017975697,3.112056922757615,0.0,0.07431783657805006,0.0,0.007134209970786124,0.00914922458491798,22.391121591958296,18.802109161294837,6.420443950299163,1.1801987762863269,3.112056922757615,12.084399488535597,8.000043860801394,1.8783819893434284,0.2032178570923186,1.1599903880639557
6,Чита,238.88903523431438,68.85783395441624,16.903120274432627,17.9890921448591,31.369864069170102,0.3499902227423482,0.0,0.05067581263733145,0.07919708554725187,0.08376876217369188,12.608861070895392,8.618885356919426,2.512393324888935,4.331269060354956,4.779905145568699,0.0,0.0,0.0,0.014399470099500338,0.011194542794722087,12.608861070895392,8.618885356919426,2.512393324888935,4.331269060354956,4.779905145568699,6.738199365946152,4.396834764874516,0.5967487372602587,0.9163569707638661,1.367047752130372
7,Южно-Сахалинск,1797.1939745451953,2329.719165379621,290.39151995165594,84.15998574143521,310.55333875753,0.0,0.0,0.0,0.0,0.0,106.79190167203092,37.29785770823481,12.816269422035237,10.851765172891811,17.04303354090155,0.0,0.0,0.0,0.05572277340713109,0.044478509051910343,102.61854597022888,36.4960618726483,11.688062911364133,9.818222266965444,15.870790609805653,36.25216981329903,9.91573839228025,0.9671115472690742,1.0051772052894765,3.1654821334386
8,Якутск,3017.933788418048,2086.9019541898715,388.0679283656392,34.67770789797706,347.64028781615235,0.0,0.0,0.0,0.006828683091197336,0.00535077543437595,10.3536745015196,3.0607251129074053,2.759419078165154,4.884335913389235,4.812475986171079,0.0,0.0,0.0,0.0,0.0,10.107868565306243,2.875187750321014,3.3114630208629934,4.755062973535765,4.746468552891229,0.4942903443434282,0.09276868129319542,0.0,1.5165429414351064,1.2177505503025368
9,Ижевск,2562.4195348609073,2381.9426146206238,456.0953992385304,105.958476093767,375.87170170697703,0.0,0.0,0.0,0.0,0.0,47.62800067329749,13.601277445942056,7.245753295947386,1.5491536738863068,4.770479655126287,0.0,0.0,0.0,0.0,0.0,47.62800067329749,13.601277445942056,7.245753295947386,1.5491536738863068,4.770479655126287,7.608791535593367,2.8519117544015287,1.8519332712052405,0.23203888026155547,0.8538494995971622
